news_id,publish_date,company,headline,sentiment_score,source
N79,2023-08-11,STK032,Color few character sometimes choose group detail.,-0.22,CNBC
N80,2023-08-27,STK020,Focus interesting force spring trade six case.,-0.38,CNBC
N81,2023-07-26,STK025,It must space which.,0.92,CNBC
N82,2023-03-25,STK033,Yourself gun data listen heart spring.,0.55,Bloomberg
N83,2023-08-02,STK030,Expect huge surface several give.,-0.45,CNBC
N84,2024-04-21,STK015,Group low goal study.,0.06,Bloomberg
N85,2024-05-28,STK005,Change local keep force manager international.,-0.19,Bloomberg
N86,2023-06-04,STK029,Stock seem view why among under.,0.27,CNBC
N87,2023-04-03,STK008,Like nearly ground them build.,0.89,CNBC
N88,2023-08-16,STK028,Course wall relate number worry station low brother.,-0.4,Bloomberg
N89,2024-03-30,STK037,Food protect western deal always.,-0.45,Bloomberg
N90,2024-03-31,STK016,Medical interest itself information eat government.,0.27,CNBC
N91,2024-01-12,STK026,Guy bag west specific instead.,-0.81,Reuters
N92,2024-06-18,STK021,Relate information expect them.,0.06,Reuters
N93,2023-05-08,STK014,Situation two school.,-0.0,Reuters
N94,2023-09-14,STK007,From across man tend campaign before he may.,0.12,Reuters
N95,2024-01-24,STK010,Degree test wife.,-0.31,Bloomberg
N96,2024-11-20,STK014,Either like way hair tell.,-0.93,CNBC
N97,2023-01-12,STK037,That right source practice growth for approach.,0.86,Bloomberg
N98,2023-11-14,STK034,Expect no media wife police weight.,-0.55,Reuters
N99,2024-02-27,STK026,Very candidate minute right.,-0.79,Reuters
N100,2024-01-25,STK024,Analysis hit ground against nature several owner.,-0.79,CNBC
N101,2024-01-03,STK021,End heart surface water these.,0.78,Reuters
N102,2023-02-26,STK012,Represent raise about box.,-0.87,CNBC
N103,2024-11-20,STK016,Medical language life stay interview discussion.,-0.48,Bloomberg
N104,2024-02-12,STK017,Certain simple of guy.,0.03,Bloomberg
N105,2024-03-26,STK009,Peace pressure arm to baby agreement lot.,-0.51,Bloomberg
N106,2024-11-12,STK026,Between effort yes from road commercial itself sister.,-0.72,Bloomberg
N107,2023-10-17,STK023,Middle billion Mr fill form these.,0.3,Reuters
N108,2024-08-09,STK040,Spring rather you wish.,0.72,Bloomberg
N109,2023-02-15,STK005,Tell space on do sister political whom check.,0.61,CNBC
N110,2024-10-02,STK024,Weight if character race affect.,0.93,Bloomberg
N111,2024-07-05,STK036,Vote paper company daughter budget no human.,0.49,CNBC
N112,2024-02-12,STK007,Prevent have sound away.,0.53,CNBC
N113,2023-05-18,STK030,This until month nothing seem discuss baby.,-0.21,Reuters
N114,2023-08-25,STK031,Example strong true.,0.19,Bloomberg
N115,2023-02-22,STK034,Newspaper rich write.,0.24,CNBC
N116,2024-07-01,STK009,Contain decade author air attention here knowledge.,-0.55,Reuters
N117,2024-02-17,STK036,To degree often include.,-0.98,CNBC
N118,2023-02-15,STK006,Pattern throw test.,0.95,Reuters
N119,2024-06-10,STK030,South sure population party staff key plant.,0.25,CNBC
N120,2023-10-30,STK025,Teacher employee center science.,-0.14,CNBC
N121,2024-10-23,STK021,Smile manage break in mouth wind term look.,0.13,Reuters
N122,2023-10-24,STK003,Consumer consider save top.,-0.74,Reuters
N123,2024-03-14,STK003,Beyond attorney can beat challenge.,-0.06,Reuters
N124,2024-01-28,STK016,Suggest might because four.,0.2,Reuters
N125,2024-02-08,STK023,Decision defense onto interest none professor many common.,0.39,Reuters
N126,2024-11-30,STK013,Determine think floor moment other measure.,-0.01,CNBC
N127,2023-11-18,STK019,Respond wish very international figure kitchen garden.,-0.02,Reuters
N128,2024-04-16,STK017,Create create throughout through economy let listen.,-0.69,CNBC
N129,2023-10-26,STK011,Give interview red memory everything car.,-0.66,Bloomberg
N130,2024-04-04,STK030,Government thousand social young medical go.,0.07,CNBC
N131,2023-04-16,STK009,Whether put according whole force east light pattern.,-0.72,Reuters
N132,2023-07-18,STK039,Hand since miss ok on the prepare.,0.14,Bloomberg
N133,2023-05-20,STK024,Blue send prove recent.,-0.78,Bloomberg
N134,2023-04-02,STK006,Reveal travel important trade suggest.,-0.5,Bloomberg
N135,2023-08-28,STK003,Money should not security image guy sort.,-1.0,Bloomberg
N136,2023-04-20,STK032,Address kind PM boy house service before take.,0.7,Reuters
N137,2024-10-04,STK021,Card decade three market garden decade.,0.96,Reuters
N138,invalid_date,STK008,Reveal skin story property beautiful maybe sort.,0.54,Reuters
N139,2023-08-02,STK030,Hand soldier character whatever traditional son.,0.7,CNBC
N140,2023-12-13,STK019,Write production change why.,0.02,CNBC
N141,2024-01-05,STK010,Stage budget defense.,0.09,CNBC
N142,2023-07-10,STK012,Single maintain represent important international especially could finish.,0.62,CNBC
N143,2023-09-09,STK023,Happy check fall particularly.,0.48,Reuters
N144,2023-11-07,STK002,Media improve once.,0.98,Bloomberg
N145,2024-08-17,STK010,And challenge stop seek thousand.,-0.66,Bloomberg
N146,2024-10-31,STK029,Management turn authority right discussion before.,0.59,Reuters
N147,2024-05-14,STK029,Yet despite become cultural technology anything maintain.,0.72,Reuters
N148,2023-02-01,STK039,Relate someone feel involve debate left shoulder.,-0.82,Reuters
N149,2024-01-12,STK040,Money she hear his bit make degree.,0.59,Bloomberg
N150,2023-12-27,STK008,Teach heart issue trial place.,0.06,Reuters
N151,2023-09-13,STK031,Environmental maybe interest catch suffer.,0.18,Bloomberg
N152,2024-09-30,STK014,Specific example their apply general.,0.16,Bloomberg
N153,2024-01-16,STK007,Road lawyer picture industry Democrat list sound interview.,0.8,Bloomberg
N154,2024-07-25,STK013,Help sense couple.,0.72,CNBC
N155,2023-01-30,STK027,Rather together piece true husband.,-0.71,Reuters
N156,2024-09-06,STK018,Either middle fear have special exactly party.,-0.13,Reuters
N157,2024-09-28,STK023,In manager test ten free science.,-0.75,Bloomberg
N158,2023-03-15,STK015,The turn reach capital successful program find.,-0.68,Reuters
N159,2023-05-06,STK034,Inside mind talk nearly pretty room cover.,0.55,Reuters
N160,2024-03-28,STK034,Author through who according.,0.24,Bloomberg
N161,2024-10-26,STK025,Black them nearly house require series democratic.,-0.7,Reuters
N162,2024-03-13,STK008,Entire meeting child himself candidate never produce.,0.4,CNBC
N163,2023-08-04,STK009,Whose choose reality really offer past theory.,0.99,Reuters
N164,2024-10-20,STK003,Wear improve pay chance shoulder discussion do.,1.0,Bloomberg
N165,2023-01-12,STK001,Arm authority father pick.,-0.11,CNBC
N166,2023-11-12,STK033,Skill big history debate east specific.,-0.19,Reuters
N167,2023-12-16,STK037,Father power black yourself stage seven truth.,0.22,Reuters
N168,2024-04-13,STK002,Determine build fact involve medical range.,-0.15,Reuters
N169,2023-07-06,STK039,Cultural too board.,-0.66,Bloomberg
N170,2023-04-29,STK001,Reach challenge entire yes late.,0.72,Reuters
N171,2024-01-21,STK004,Share full final be.,0.7,Reuters
N172,2023-02-11,STK020,Child morning second.,-0.06,Reuters
N173,2024-03-04,STK036,Everything cold least then Mrs play seven itself.,-0.34,Bloomberg
N174,2023-05-05,STK014,In drug right him.,0.6,Reuters
N175,2023-06-09,STK032,Operation peace smile walk.,-0.05,CNBC
N176,2023-12-27,STK026,Resource particularly onto seem newspaper strong.,-0.19,Reuters
N177,2024-04-10,STK031,Need remain guy store few.,0.56,CNBC
N178,2023-05-02,STK017,Some political land need everything family garden.,0.05,CNBC
N179,2023-12-08,STK019,Itself house science successful care president toward.,0.49,CNBC
N180,2024-09-26,STK037,Trial story however must large what Congress huge.,0.0,Reuters
N181,2023-10-14,STK026,There create individual at hair method.,-0.18,CNBC
N182,2023-08-27,STK015,If above rest page edge.,-0.15,Bloomberg
N183,2023-08-03,STK003,Send manager last plan little company.,0.72,CNBC
N184,2023-12-27,STK015,Probably peace market reason watch he.,-0.93,CNBC
N185,2024-03-14,STK039,Wear clear join inside respond agree after.,-0.53,Reuters
N186,2023-04-28,STK021,Around reveal task son his whether.,0.73,Bloomberg
N187,2023-04-01,STK025,Think easy media.,0.5,Bloomberg
N188,2024-09-11,STK006,Cover edge draw despite spend score everybody.,0.04,CNBC
N189,invalid_date,STK037,Purpose team better he those game choice.,0.02,Reuters
N190,2024-10-09,STK026,General day take foot.,0.14,CNBC
N191,2024-07-30,STK017,Dinner me current radio personal remember far.,0.06,Reuters
N192,2024-02-16,STK001,Up former case them.,-0.41,Reuters
N193,2024-10-19,STK036,Statement you thing west why.,0.63,CNBC
N194,2023-07-23,STK005,Then important participant attack figure specific.,-0.26,Reuters
N195,2023-02-21,STK030,Boy recognize cut.,0.92,Reuters
N196,2024-05-23,STK026,Modern fly window truth dream.,0.28,Bloomberg
N197,2024-02-29,STK035,Position foot training movie may.,0.52,Bloomberg
N198,2023-02-09,STK008,Parent race could hold from.,-0.14,Reuters
N199,2024-09-09,STK026,Challenge successful major find by.,0.32,CNBC
N200,2024-09-02,STK040,Keep fund material return.,0.1,Bloomberg
N201,2023-03-05,STK028,Industry street forward develop.,-0.68,Reuters
N202,2024-03-21,STK016,Sure response easy collection condition turn season.,0.07,CNBC
N203,2023-11-01,STK031,Hot decide capital use.,-0.62,Bloomberg
N204,2023-01-25,STK017,Feeling care cover pretty safe who off.,-0.05,Bloomberg
N205,2024-06-06,STK004,Our professional quickly include interview house over condition.,-0.14,Reuters
N206,2023-05-03,STK033,Write listen behavior new prepare.,0.46,CNBC
N207,2024-08-09,STK003,Owner tell gas choice.,-0.53,Reuters
N208,2023-09-06,STK031,South behavior evidence.,0.34,CNBC
N209,2023-09-02,STK015,Pretty if score.,0.61,Bloomberg
N210,2024-10-15,STK003,Responsibility just piece president really.,-0.85,CNBC
N211,2024-05-24,STK013,Once man short situation understand.,-0.63,CNBC
N212,2023-06-09,STK025,Might loss their cause job help.,0.96,CNBC
N213,2023-01-03,STK027,Development rate democratic impact too put heart.,0.51,Reuters
N214,2023-11-06,STK039,Loss as head newspaper up on human.,-0.42,Reuters
N215,2023-03-19,STK026,Test ok since remain call.,0.76,Bloomberg
N216,2023-02-15,STK007,Push often true get response quickly finish during.,0.73,CNBC
N217,2023-06-11,STK009,Bad particular rest idea cup.,-0.02,Reuters
N218,2023-02-16,STK018,Coach treat buy material.,0.51,Bloomberg
N219,2024-05-01,STK001,Of present allow.,0.25,CNBC
N220,2024-04-22,STK020,Check wind right consumer.,0.86,CNBC
N221,2024-11-06,STK031,Size responsibility protect accept item participant military.,0.34,Bloomberg
N222,2023-05-29,STK026,A occur program woman place actually generation.,0.07,Bloomberg
N223,2024-05-12,STK005,Model only area.,-0.37,Reuters
N224,2024-09-17,STK022,Issue pattern commercial doctor relate long.,-0.73,Bloomberg
N225,2024-08-01,STK002,Term Republican paper trial open both.,0.54,Reuters
N226,2023-02-23,STK003,Decide day it better feel region.,-0.99,CNBC
N227,2023-09-30,STK040,Wait house food start issue.,0.36,Bloomberg
N228,2023-12-16,STK010,Prevent drive without class painting there specific.,-0.7,Bloomberg
N229,2023-05-04,STK020,Public determine expect dinner only standard stuff.,0.63,Reuters
N230,2024-08-27,STK021,Space family decade serious mean.,-0.48,CNBC
N231,2023-02-04,STK022,Three cultural watch west safe apply.,-0.35,Reuters
N232,2024-05-07,STK033,Have service skin suggest south eat.,0.05,Bloomberg
N233,2024-09-14,STK011,Difficult under out writer hit.,-0.8,Reuters
N234,2023-07-31,STK016,Heavy be environmental pull indeed score.,0.86,Bloomberg
N235,2023-05-07,STK035,You between crime agree technology.,0.56,Bloomberg
N236,2024-03-16,STK018,Right hair serious couple how focus.,-0.54,CNBC
N237,2023-04-25,STK005,Policy activity memory life interesting son.,-0.94,CNBC
N238,2024-01-28,STK033,Common offer course.,-0.52,Reuters
N239,2024-10-14,STK040,Time hospital information try right form great.,1.0,Bloomberg
N240,2023-06-04,STK013,Performance reason interview article need bar what.,-0.06,Bloomberg
N241,2023-07-23,STK009,Detail late challenge board international identify.,-0.68,Reuters
N242,2023-02-02,STK036,Learn long office mission child example walk.,0.3,Reuters
N243,2023-10-09,STK029,Serious history phone cup.,-0.68,Reuters
N244,2023-10-08,STK024,Environmental million water term.,0.58,Bloomberg
N245,2023-04-12,STK031,Stock on store.,0.35,Bloomberg
N246,2024-07-30,STK025,Pretty forget rather parent all.,0.78,Reuters
N247,2023-07-23,STK036,Professional above both run likely cause.,0.54,Reuters
N248,2024-06-28,STK034,Do tree station culture my including say.,0.29,Reuters
N249,2024-06-06,STK014,Edge friend blood answer issue.,-0.86,Reuters
N250,2024-02-25,STK027,Own adult must possible.,-0.78,Reuters
N251,2024-10-22,STK026,Be organization any large source range.,0.69,CNBC
N252,2024-07-26,STK012,Security visit trial.,0.81,Bloomberg
N253,2024-06-11,STK016,Individual kind yard market.,-0.05,CNBC
N254,2024-01-12,STK033,Recently sure discussion peace short.,0.29,CNBC
N255,2023-07-21,STK031,Today walk region determine marriage sing interesting government.,0.1,Reuters
N256,2024-09-14,STK015,Week gas PM happen teach.,-0.79,CNBC
N257,2023-07-30,STK020,Present pull reason Congress star nature explain.,-0.68,Reuters
N258,2023-02-27,STK024,Film government quickly trip bad.,-0.95,Bloomberg
N259,2024-03-15,STK004,Future civil which bad simply so.,-0.85,Bloomberg
N260,2024-02-23,STK009,Former card prepare explain explain.,-0.09,Bloomberg
N261,2024-01-27,STK024,Per force else establish deep score.,0.4,Reuters
N262,2024-11-17,STK012,Professional force popular Congress enjoy behind.,-0.44,Reuters
N263,2023-02-01,STK010,Task rise spring image themselves phone.,0.25,Reuters
N264,2023-07-12,STK010,Expert popular four.,0.61,Bloomberg
N265,2023-11-27,STK013,Run cultural establish often others everybody nearly without.,-0.6,CNBC
N266,2024-01-04,STK023,Stay become deal.,-0.97,Bloomberg
N267,2024-09-20,STK040,Open anything thus.,-0.5,Bloomberg
N268,2023-05-09,STK031,Cell mean account which even of American.,-0.09,Reuters
N269,2023-09-16,STK031,Share when sit tell.,-0.81,Bloomberg
N270,2024-08-06,STK028,Along represent news fine time.,0.45,CNBC
N271,2023-02-08,STK014,Able toward industry control husband.,-0.88,Reuters
N272,2024-03-11,STK001,Yet choice cause blue.,-0.05,CNBC
N273,2023-07-19,STK024,Television name feeling state forget bill.,0.22,CNBC
N274,2023-09-14,STK008,Song capital family second.,-0.13,CNBC
N275,2024-10-06,STK022,Always tough series opportunity image.,-0.46,Reuters
N276,2023-12-29,STK003,Go score no magazine defense.,0.79,Reuters
N277,2024-04-26,STK017,Firm create along involve major against peace reality.,0.9,Reuters
N278,2023-04-27,STK002,Argue provide small sing provide this brother.,-0.21,Reuters
N279,2024-08-13,STK031,Play kind soon move break.,-0.92,Reuters
N280,2024-06-11,STK021,Word share follow doctor accept war.,-0.97,CNBC
N281,2024-06-26,STK002,Say media from result.,-0.72,Reuters
N282,2024-06-17,STK007,Option reflect own positive president up almost pay.,-0.25,Reuters
N283,2024-01-06,STK032,Way weight though scene drop Republican up.,-0.61,CNBC
N284,2023-05-13,STK022,Listen here next important clearly know.,0.62,Bloomberg
N285,2024-06-22,STK007,Certain charge forget.,0.73,Reuters
N286,2024-08-26,STK014,Show morning plan toward other.,0.67,CNBC
N287,2024-02-01,STK039,Black indicate rather analysis book.,0.28,Bloomberg
N288,2024-03-31,STK033,Effort discover light positive senior son really.,-0.25,Reuters
N289,2024-06-23,STK023,Point total interest yes everything.,0.5,CNBC
N290,2024-09-19,STK005,Own call history religious deep clear.,0.98,CNBC
N291,2023-04-19,STK027,Will theory church three popular wind computer.,-0.66,CNBC
N292,2024-09-05,STK018,Might create next attorney place international owner sense.,-0.91,Bloomberg
N293,2023-07-24,STK013,Want chance staff structure him.,0.68,CNBC
N294,2024-08-28,STK034,The they should any truth third own.,-0.21,Bloomberg
N295,2024-03-30,STK020,Reason never live soldier recognize available.,0.08,Bloomberg
N296,2024-01-19,STK026,Finish public actually.,-1.0,Reuters
N297,2023-08-07,STK028,Democratic number simple office.,-0.39,Reuters
N298,2023-04-20,STK025,Sometimes meeting despite improve election.,0.82,Bloomberg
N299,2023-05-18,STK024,Learn focus eye level tough power which.,0.75,Reuters
N300,2023-04-17,STK030,Both happen soon wait brother.,-0.38,CNBC
N301,2024-11-01,STK027,Get win short later federal.,-0.87,CNBC
N302,2023-08-10,STK004,Business term maintain.,-0.91,Bloomberg
N303,2024-04-18,STK007,Care three option answer.,-0.08,Bloomberg
N304,2024-06-19,STK004,Play avoid radio line.,0.77,Reuters
N305,2023-05-01,STK024,Size fast live.,-0.99,CNBC
N306,2024-05-28,STK022,Our month candidate same success interesting toward where.,0.8,Bloomberg
N307,2024-01-30,STK034,Reality travel suffer organization red produce.,-0.48,Reuters
N308,2024-07-22,STK008,Environment point prove mind.,-0.86,Reuters
N309,2023-01-05,STK024,Majority deep cold standard art good outside.,-0.57,Bloomberg
N310,2023-04-22,STK007,Vote worker girl face deal building.,-0.89,Bloomberg
N311,2024-01-29,STK028,Yourself purpose first different pick see conference.,-0.11,Bloomberg
N312,2024-09-16,STK034,Detail hard standard man rest item case.,-0.07,Bloomberg
N313,2024-11-14,STK038,Enter card feeling huge phone since mother.,-0.3,CNBC
N314,2023-12-30,STK016,More and cell whatever authority claim admit.,0.97,CNBC
N315,2024-02-23,STK010,Somebody purpose inside society.,0.49,CNBC
N316,2024-05-19,STK010,Action significant lead understand.,0.8,Reuters
N317,2024-03-31,STK004,Attack how high section imagine least behavior issue.,0.02,Reuters
N318,2023-02-14,STK021,Teacher effect employee operation sell bed include.,0.66,Bloomberg
N319,2023-01-03,STK018,Final short glass agency beautiful.,0.39,Reuters
N320,2024-06-18,STK001,Movie occur same style notice present half after.,-0.14,CNBC
N321,2023-04-11,STK036,Third mother think remain.,-0.79,Bloomberg
N322,2024-09-07,STK014,Life this member morning.,0.8,Bloomberg
N323,2023-07-25,STK005,Amount grow late radio try cost defense.,-0.71,CNBC
N324,2024-07-11,STK026,Board true well tonight science under.,0.04,Reuters
N325,2023-04-01,STK028,Assume energy grow range.,-0.13,Reuters
N326,2023-12-21,STK040,Tree here environment sister smile total case radio.,-0.96,CNBC
N327,2024-04-28,STK011,Every water bed Congress add race hold.,0.59,CNBC
N328,2024-01-10,STK037,Plant day toward fast decade.,-0.64,CNBC
N329,2023-10-20,STK017,Guy character state central.,-0.69,Reuters
N330,2024-08-06,STK027,Perhaps skin likely watch.,0.48,CNBC
N331,2024-02-28,STK033,Lawyer suddenly knowledge fine performance.,0.27,Reuters
N332,2023-06-10,STK012,Sort significant number than.,0.66,Reuters
N333,2023-04-02,STK009,May hope control model board everything.,-0.0,CNBC
N334,2023-04-08,STK024,Piece science risk enough no people age charge.,0.69,Bloomberg
N335,2023-05-30,STK039,Billion for notice ever senior fish.,0.96,Bloomberg
N336,2024-09-19,STK016,Hour upon financial structure represent.,-0.84,CNBC
N337,2023-01-18,STK027,Set girl sense president husband read.,-0.82,Reuters
N338,2024-06-17,STK016,Local water actually population line card.,-0.17,Bloomberg
N339,2024-01-01,STK003,Raise for son mind marriage ten sister out.,-0.38,Reuters
N340,2024-02-23,STK006,Also prevent mind amount.,0.28,Reuters
N341,2023-05-09,STK035,Stock kitchen according college.,0.87,Reuters
N342,2024-04-01,STK033,Alone within available deal choose power attorney.,-0.43,Bloomberg
N343,2023-11-04,STK033,Town would PM improve operation effect.,-0.1,CNBC
N344,2023-05-28,STK026,Drug time account determine.,-0.6,Bloomberg
N345,2024-03-14,STK039,Become girl data forward study thing.,0.31,Reuters
N346,2024-05-25,STK040,Phone voice put single.,0.8,Reuters
N347,2024-09-27,STK039,Another last lawyer little risk.,-0.39,Bloomberg
N348,2024-05-11,STK010,Can trial analysis find to beyond country.,0.76,CNBC
N349,2023-02-01,STK032,Relate morning if dog outside machine be.,-0.69,Reuters
N350,2023-03-10,STK027,Vote task American you child hear quickly.,-0.72,CNBC
N351,2024-05-04,STK035,Before remember clear seat meeting gun.,0.92,CNBC
N352,2023-08-11,STK015,Between begin thank even memory teach.,0.49,Bloomberg
N353,2023-10-23,STK004,Tell rather wonder age away forget.,-0.77,Reuters
N354,2024-03-24,STK036,Hit inside reality get customer religious.,-0.25,Reuters
N355,2023-08-28,STK010,Race system finish sister its itself rise.,0.36,Bloomberg
N356,2023-12-03,STK028,Order as both far way short national.,0.32,Reuters
N357,2023-04-23,STK011,Political myself guy four door air reduce.,-0.12,Reuters
N358,2024-01-20,STK005,Enough high pay.,-0.37,Bloomberg
N359,2024-04-01,STK006,Hour question director type.,0.06,CNBC
N360,2024-11-17,STK030,Account lot PM hard whatever site do.,0.39,Bloomberg
N361,2024-01-13,STK013,Natural summer nothing everyone condition decide mouth night.,-0.47,Bloomberg
N362,2024-09-15,STK030,Each professor hit later.,0.66,CNBC
N363,invalid_date,STK005,Scientist to policy staff everybody.,-0.81,Reuters
N364,2024-04-05,STK017,Baby else effect.,0.07,Bloomberg
N365,2023-07-22,STK015,Rule machine ask key left.,-0.02,Bloomberg
N366,2024-01-16,STK004,Movie within admit every above.,-0.38,Reuters
N367,2023-09-06,STK030,Name fear serious maintain might because focus window.,0.13,Bloomberg
N368,2024-10-01,STK038,Center then leg push coach.,-0.36,CNBC
N369,2024-08-23,STK019,Short meeting role between newspaper more speech.,0.21,Reuters
N370,2024-09-04,STK016,Travel bit live key put any.,-1.0,Reuters
N371,2023-04-07,STK029,Vote school during suffer.,-0.29,Reuters
N372,2023-12-25,STK011,Consider present summer cultural north process grow road.,-0.77,Reuters
N373,2023-05-18,STK018,Hope organization run in with expert hospital.,0.32,Reuters
N374,2023-05-01,STK018,Matter view every mention.,0.93,Bloomberg
N375,invalid_date,STK024,Nor rich official remember.,0.7,Reuters
N376,2024-02-24,STK023,Pull life dream happy.,-0.89,Reuters
N377,2024-07-19,STK036,Wall watch true card stay.,0.78,CNBC
N378,2024-07-17,STK020,Back move newspaper together defense specific good of.,0.03,Reuters
N379,2024-11-30,STK033,Management name professional despite.,0.83,Bloomberg
N380,2023-02-26,STK013,Claim under car minute reality character.,0.03,Bloomberg
N381,2023-10-27,STK006,Measure individual fear manage again.,-0.52,Bloomberg
N382,2023-07-12,STK021,Somebody choose five.,-0.9,CNBC
N383,2024-06-14,STK028,Everything measure information real at at.,-0.77,Reuters
N384,2024-05-23,STK020,Challenge glass low according.,-0.07,Reuters
N385,2024-04-05,STK003,Could who old usually.,0.92,Reuters
N386,2023-10-22,STK001,Century through north face.,-0.29,Reuters
