symbol,trade_date,rsi,macd,sma_50,sma_200
STK039,2023-05-09,75.94,4.1,287.58,175.34
STK007,2023-05-29,68.74,0.96,85.43,221.06
STK037,2024-07-30,7.67,-0.09,222.76,181.88
STK027,2024-05-28,42.06,3.19,64.46,108.5
STK006,2023-05-17,70.71,-1.09,298.48,184.56
STK005,2023-05-19,52.75,-3.49,156.41,125.72
STK023,2023-07-15,60.69,2.97,216.8,293.43
STK028,2024-10-03,62.8,-2.72,244.38,138.04
STK020,2023-06-15,43.57,-0.85,146.05,79.28
STK006,2023-09-26,92.44,3.2,115.28,58.3
STK040,2024-11-21,26.77,-2.17,299.38,148.16
STK026,2023-05-26,76.74,-0.15,142.08,154.63
STK020,2024-06-18,43.43,1.41,127.49,297.1
STK008,2023-08-23,7.96,-4.77,132.51,275.24
STK003,2023-06-07,61.29,3.61,60.19,105.04
STK008,2023-07-27,98.16,-1.45,134.98,188.28
STK004,2023-03-19,65.72,2.96,23.97,175.27
STK004,2024-03-15,62.66,3.65,253.2,122.05
STK001,2023-07-28,64.16,3.38,211.01,61.2
STK011,2023-08-21,47.48,-4.78,299.2,254.94
STK019,2023-08-03,15.4,-3.15,137.42,292.47
STK031,2024-07-27,27.41,-1.11,216.37,71.05
STK004,2024-01-20,90.1,0.17,286.41,247.92
STK039,2023-09-23,71.68,0.25,257.37,35.23
STK010,2023-08-07,75.19,-0.29,241.87,32.06
STK022,2024-01-21,30.57,2.41,135.53,283.7
STK007,2024-01-17,52.48,-0.05,109.1,56.71
STK002,2024-10-10,53.69,2.02,254.18,108.5
STK024,2023-01-18,45.38,-0.08,136.14,105.73
STK025,2024-10-03,24.76,2.76,71.15,105.17
STK008,2024-08-06,39.43,-3.34,97.13,269.48
STK019,2023-07-20,40.06,-2.09,110.53,185.43
STK005,2024-03-12,5.03,1.41,218.36,62.5
STK022,2024-03-08,49.3,0.96,63.92,125.12
STK020,2023-08-23,85.62,4.0,224.07,47.23
STK030,2024-07-10,99.03,-4.35,104.57,209.65
STK003,2024-07-04,61.03,4.47,120.96,224.03
STK036,2024-01-27,10.33,-0.93,62.57,289.25
STK008,2023-03-20,84.77,-2.78,210.4,170.72
STK024,2024-05-05,27.53,-4.1,273.93,219.95
STK031,2024-03-14,48.57,1.78,94.77,279.53
STK005,2024-07-05,38.7,-2.03,37.81,270.69
STK004,2023-09-18,3.68,-4.48,276.47,59.35
STK034,2023-08-26,31.74,2.01,197.62,48.28
STK012,2024-04-23,3.16,-2.82,43.48,43.3
STK012,2023-03-07,15.06,2.86,183.19,113.8
STK022,2023-08-08,62.88,2.2,100.69,66.08
STK028,2024-02-29,40.32,-3.22,203.97,139.2
STK021,2024-02-06,41.24,2.59,233.02,255.93
STK040,2023-01-04,70.8,0.15,112.74,105.05
STK005,2023-03-20,71.51,1.36,28.07,120.45
STK010,2024-01-20,87.76,3.61,113.88,264.32
STK017,2023-06-04,46.37,4.27,144.89,268.58
STK018,2023-03-08,89.31,-1.88,120.2,264.54
STK035,2024-04-28,40.63,2.31,161.95,163.05
STK040,2023-01-26,70.78,-2.48,194.73,109.69
STK025,2023-01-29,33.54,3.77,291.49,227.53
STK024,2023-10-28,73.37,-1.16,298.06,262.69
STK032,2023-05-29,81.51,0.59,49.54,66.89
STK005,2023-11-07,26.21,0.33,284.79,136.29
STK033,2023-02-03,17.52,-1.82,95.02,172.5
STK037,2024-10-10,92.41,-0.53,250.09,281.69
STK027,2023-12-21,87.46,2.63,30.65,35.9
STK027,2023-05-23,52.38,-2.1,261.4,74.0
STK010,2024-09-28,64.15,2.11,271.75,44.66
STK006,2024-03-12,4.34,3.34,291.05,69.84
STK016,2024-08-01,72.4,2.28,267.61,198.49
STK006,2023-07-19,38.21,-1.76,48.64,272.75
STK001,2023-07-28,49.57,1.28,258.21,212.08
STK008,2023-06-03,99.51,1.2,279.99,279.08
STK025,2023-02-07,4.92,2.16,150.7,211.59
STK029,2023-04-06,36.18,2.86,112.56,58.71
STK013,2024-08-12,68.38,-0.03,106.43,134.39
STK040,2023-03-06,73.67,3.35,147.84,242.68
STK040,2024-11-10,73.16,0.8,53.63,223.4
STK002,2024-08-23,31.29,1.19,296.98,120.31
STK002,2023-08-09,82.14,-1.1,262.4,133.63
STK009,2023-12-15,73.32,-4.45,47.16,258.77
STK002,2024-06-05,46.81,-4.67,83.53,257.51
STK011,2023-10-10,41.03,4.25,137.3,194.81
STK027,2024-07-20,65.26,4.21,144.81,21.48
STK019,2023-04-02,5.66,-4.47,296.83,205.11
STK005,2023-01-08,46.98,-3.44,177.73,225.44
STK032,2023-06-25,17.6,2.7,167.61,118.36
STK022,2024-10-08,44.8,4.39,92.3,296.71
STK037,2023-04-05,43.91,3.81,205.92,34.8
STK022,2024-05-19,96.47,-4.59,267.1,83.54
STK015,2024-10-25,79.57,3.38,293.52,88.41
STK032,2023-10-19,49.07,-4.41,78.28,271.94
STK022,2023-08-02,56.39,3.59,212.87,71.54
STK026,2023-07-29,37.58,0.82,211.75,279.15
STK017,2024-11-21,8.0,-4.36,121.89,119.7
STK018,2023-04-14,64.99,-1.46,33.79,285.82
STK019,2023-08-05,70.59,3.32,27.22,102.59
STK026,2024-08-06,42.57,-4.0,163.16,127.85
STK036,2023-06-30,45.61,-1.61,233.5,296.31
STK016,2024-10-01,24.77,-4.38,246.07,61.41
STK010,2023-10-13,86.13,-4.27,152.76,53.1
STK023,2023-07-16,42.9,-0.09,51.54,155.38
STK019,2023-06-10,78.56,-3.96,57.02,234.48
STK038,2024-10-03,15.9,-0.67,188.43,86.48
STK001,2024-08-14,58.76,-4.61,73.25,192.73
STK024,2024-01-08,10.02,-4.06,243.34,196.43
STK037,2024-07-05,42.84,0.41,282.76,140.3
STK022,2024-09-01,29.49,-3.59,22.68,242.9
STK023,2024-01-23,75.86,-1.98,89.79,285.56
STK032,2023-02-06,60.75,-2.46,63.58,122.8
STK014,2024-06-04,77.57,-4.32,27.99,75.54
STK010,2023-03-07,77.59,4.99,103.97,57.06
STK013,2024-07-08,92.33,-1.88,255.47,35.88
STK009,2024-05-03,71.45,-3.97,91.37,90.33
STK010,2024-01-08,36.98,-3.61,58.2,40.72
STK040,2023-07-07,97.49,-4.91,104.74,41.9
STK007,2023-10-28,67.41,-1.15,190.3,207.49
STK032,2024-06-04,83.65,4.84,198.52,268.27
STK021,2023-07-17,52.08,2.58,233.93,227.03
STK028,2024-03-20,80.74,3.58,215.01,271.24
STK002,2024-08-16,55.73,4.08,225.73,171.76
STK029,2023-02-12,6.63,-3.55,286.24,214.34
STK035,2023-09-28,64.63,3.87,299.02,289.59
STK019,2023-09-23,79.54,-4.38,108.97,212.41
STK016,2024-10-19,9.01,4.56,65.3,65.74
STK027,2023-11-03,58.31,-3.14,63.55,66.27
STK020,2024-10-10,67.15,3.73,266.16,82.09
STK037,2023-08-02,30.46,-0.76,98.4,194.14
STK021,2023-07-07,71.01,-3.12,257.57,75.79
STK031,2024-05-01,64.56,2.76,64.15,135.14
STK029,2023-03-06,38.03,0.48,87.57,116.32
STK019,2024-01-03,91.08,2.26,133.28,129.14
STK021,2023-12-18,22.88,4.5,270.12,117.94
STK033,2023-12-13,98.5,0.9,225.56,256.64
STK034,2024-08-02,75.83,-4.38,280.68,152.09
STK017,2023-10-08,74.5,0.77,239.97,291.34
STK022,2023-08-05,70.42,2.59,248.37,54.63
STK005,2023-08-17,87.66,3.05,249.67,60.57
STK006,2023-07-10,10.47,3.35,139.5,269.98
STK029,2024-03-05,13.94,4.46,232.73,180.9
STK014,2024-11-26,9.99,-4.7,242.19,205.43
STK034,2024-10-13,81.51,-2.82,46.38,142.38
STK010,2024-10-30,50.06,-4.98,35.47,144.48
STK040,2024-07-13,54.86,1.53,154.17,271.92
STK023,2023-09-19,52.29,-4.63,239.32,264.29
STK036,2023-02-24,5.73,4.32,134.55,112.61
STK005,2023-11-19,84.83,1.22,286.46,125.85
STK010,2023-09-05,77.06,4.35,293.23,127.79
STK028,2024-08-09,34.95,0.67,107.05,279.49
STK037,2023-05-27,1.51,-1.99,176.11,121.42
STK030,2023-08-06,15.03,-0.37,44.52,71.72
STK040,2024-11-29,5.69,-0.19,153.46,136.28
STK009,2024-01-09,18.64,4.22,31.14,191.66
STK026,2024-03-03,14.64,4.84,268.3,115.21
STK003,2024-05-13,1.13,-3.65,30.43,258.92
STK019,2023-02-16,47.56,4.37,165.29,65.04
STK010,2024-05-05,12.7,-1.88,109.83,192.76
STK005,2024-05-21,51.4,-1.66,151.8,250.29
STK031,2023-07-30,27.31,4.98,85.2,130.86
STK031,2024-02-18,43.92,4.08,209.23,265.0
STK013,2024-03-28,56.57,-0.95,153.15,59.64
STK003,2023-07-27,40.88,3.81,218.58,181.01
STK037,2024-08-13,25.09,-0.96,123.37,29.25
STK012,2023-07-17,99.14,-0.17,60.78,68.82
STK040,2023-10-06,97.38,1.12,149.07,30.24
STK035,2023-08-14,30.61,-0.65,125.29,194.84
STK015,2024-02-10,31.24,-4.27,170.86,152.63
STK032,2024-03-26,93.24,-2.07,179.62,178.54
STK008,2024-05-28,53.62,-1.21,232.1,21.47
STK038,2024-06-22,92.15,0.24,217.03,37.32
STK013,2023-06-20,1.97,0.98,99.84,222.89
STK005,2024-05-02,83.14,4.51,119.38,56.28
STK022,2023-08-24,60.07,-4.34,71.09,289.98
STK023,2023-11-26,13.86,-1.79,272.3,232.56
STK013,2023-02-22,54.41,1.89,150.49,76.11
STK031,2024-02-24,5.07,-3.26,289.66,152.71
STK013,2023-09-13,13.32,2.91,254.7,114.85
STK033,2023-08-03,62.94,-2.92,75.19,262.79
STK009,2024-06-07,82.43,0.25,262.28,150.32
STK018,2023-08-18,95.97,-1.15,101.76,211.78
STK034,2024-06-17,23.47,-1.08,226.01,212.09
STK008,2024-03-25,73.23,-1.83,141.34,259.36
STK038,2023-10-28,71.43,-0.35,286.23,169.63
STK033,2024-06-13,1.27,1.69,208.59,199.66
STK023,2023-03-15,84.62,-2.68,183.92,268.04
STK018,2023-06-17,56.49,-0.52,76.13,24.37
STK017,2024-02-05,80.03,0.48,128.94,77.21
STK025,2023-10-31,38.88,-4.23,271.54,228.76
STK036,2023-04-12,17.18,-0.43,188.37,193.52
STK031,2024-03-10,32.54,3.67,287.3,269.73
STK036,2024-06-05,13.05,3.92,38.22,220.88
STK031,2023-02-05,29.38,-3.99,287.49,53.31
STK024,2024-03-02,84.68,-2.62,272.77,168.93
STK016,2023-04-23,40.14,-3.2,33.13,85.7
STK009,2024-11-27,30.68,-0.09,36.54,205.37
STK017,2023-05-02,72.55,4.83,292.58,74.77
STK032,2023-11-01,32.72,-3.53,187.83,197.75
STK013,2023-12-26,61.4,-3.31,25.64,122.64
STK031,2024-10-24,86.53,-4.66,174.99,182.8
STK009,2024-11-05,15.53,-2.58,223.33,283.21
STK014,2023-02-25,49.67,3.56,85.54,159.15
STK027,2023-09-24,14.76,1.06,238.21,132.76
STK010,2024-10-07,91.41,1.46,156.77,265.86
STK008,2023-06-19,18.88,2.82,52.86,138.08
STK002,2023-07-23,5.15,2.13,188.17,210.1
STK024,2024-02-17,24.06,1.76,295.81,101.73
STK002,2023-06-24,72.69,-1.5,298.11,298.13
STK001,2023-10-17,5.53,-0.41,135.58,150.69
STK032,2024-07-12,94.28,-3.31,213.46,163.58
STK016,2023-09-09,13.21,-2.24,124.46,58.51
STK010,2023-07-30,66.93,-4.15,153.69,159.82
STK008,2024-02-02,17.77,-3.88,96.79,64.83
STK027,2024-01-07,65.14,-1.61,252.78,153.77
STK010,2023-03-11,68.91,3.82,134.42,262.21
STK004,2024-11-25,13.92,-2.16,43.08,26.39
STK008,2023-05-05,85.22,3.76,294.71,229.33
STK025,2023-10-17,32.16,4.5,72.15,26.95
STK037,2023-09-18,75.65,1.92,240.26,91.0
STK008,2024-01-20,9.68,0.96,248.0,113.13
STK030,2023-01-03,62.46,-2.82,163.24,151.87
STK034,2023-08-29,80.4,-3.17,82.44,230.81
STK016,2024-01-25,97.48,-0.61,26.87,174.35
STK024,2023-07-28,86.7,4.86,119.14,236.77
STK032,2023-03-03,12.18,3.1,108.7,169.39
STK006,2024-11-25,15.71,-1.27,278.09,279.14
STK009,2023-09-28,55.92,1.19,261.08,265.03
STK033,2024-04-28,12.32,-4.87,48.6,45.68
STK036,2024-06-19,95.73,-1.91,284.02,252.24
STK007,2023-07-05,88.71,-4.35,56.54,54.33
STK038,2024-11-17,69.85,-4.95,213.14,33.59
STK009,2024-08-08,77.75,-1.1,94.89,137.15
STK039,2024-04-25,43.89,-4.75,99.57,239.1
STK007,2024-03-22,79.9,2.22,293.51,214.74
STK020,2024-07-10,23.54,-1.37,107.36,28.27
STK022,2024-03-26,29.98,3.88,43.35,143.9
STK021,2023-12-09,40.99,0.22,213.36,90.76
STK010,2023-06-04,71.33,2.79,184.43,85.16
STK035,2024-10-11,10.07,4.2,186.69,137.73
STK038,2024-09-23,19.68,4.74,196.76,128.63
STK017,2023-07-20,5.2,-3.5,64.09,247.61
STK033,2023-05-19,25.16,-3.89,274.97,60.68
STK029,2023-08-01,53.97,-4.49,204.43,249.61
STK029,2023-09-02,74.19,1.94,71.17,240.96
STK007,2023-12-17,66.0,-1.58,285.6,296.65
STK038,2024-09-22,99.05,1.07,217.43,234.83
STK015,2024-09-21,6.04,-3.97,128.56,144.76
STK012,2024-06-16,10.22,0.39,237.22,123.51
STK035,2023-09-14,3.73,-2.58,260.24,84.08
STK037,2023-01-21,91.11,2.87,173.71,195.76
STK014,2023-10-10,39.45,4.69,231.96,265.59
STK028,2024-04-17,33.97,0.5,186.51,37.02
STK022,2023-10-21,92.39,3.89,57.3,205.21
STK032,2023-02-10,62.04,4.07,259.73,124.79
STK030,2024-10-29,80.87,-3.43,268.26,266.41
STK021,2023-08-28,41.5,0.49,166.94,237.74
STK004,2024-07-21,57.63,-2.27,107.77,220.08
STK016,2024-07-11,17.62,-3.98,151.3,135.66
STK006,2023-06-17,87.47,0.72,278.74,294.36
STK005,2023-03-13,37.02,1.32,290.78,50.15
STK032,2023-02-27,80.49,-3.07,128.0,70.01
STK027,2024-10-23,80.35,3.87,159.07,92.39
STK018,2024-04-10,93.12,3.25,182.82,233.7
STK028,2024-04-26,26.0,-4.86,38.14,60.64
STK038,2023-06-08,89.42,-1.43,141.8,117.24
STK024,2023-12-07,69.17,-0.56,114.88,144.33
STK033,2023-05-06,11.09,3.38,254.25,30.15
STK023,2024-03-05,83.98,1.86,116.86,88.27
STK017,2023-01-21,48.22,2.19,75.78,268.06
STK014,2024-06-27,45.86,3.86,145.83,22.7
STK024,2024-09-12,71.77,-2.73,193.38,247.71
STK019,2023-06-21,19.5,-2.0,175.16,296.44
STK016,2023-06-04,54.48,-4.87,228.29,37.5
STK026,2023-07-26,48.68,4.4,213.01,286.96
STK035,2024-03-17,52.22,0.88,87.97,79.07
STK022,2023-09-24,19.09,1.27,283.56,159.77
STK005,2023-05-17,83.46,-2.15,246.51,232.22
STK017,2023-03-05,86.86,0.53,168.35,239.26
STK017,2024-09-20,73.53,3.76,178.87,247.11
STK036,2024-10-29,46.14,-3.7,227.15,111.47
STK037,2023-12-03,5.19,-0.86,59.32,255.56
STK020,2023-10-07,2.59,-1.36,260.53,223.9
STK016,2024-07-20,73.18,0.44,88.06,75.04
STK029,2024-11-26,52.13,-2.96,204.32,111.41
STK034,2023-03-02,32.63,4.03,65.25,196.12
STK038,2024-06-27,60.23,-1.6,229.39,38.99
STK034,2024-07-03,1.21,4.45,113.6,118.0
STK027,2024-05-14,27.42,-1.99,256.78,266.0
STK030,2023-07-23,5.23,-0.85,129.61,149.7
STK018,2024-06-20,47.89,-2.06,59.35,275.64
STK003,2023-10-05,92.69,0.41,292.04,50.45
STK010,2024-09-27,29.15,1.29,144.02,80.05
STK030,2024-05-15,77.21,0.72,87.07,25.3
STK017,2024-04-04,78.43,-3.87,255.22,75.78
STK030,2024-03-16,86.1,4.16,185.79,184.15
